STATEFP,STATEABBREV,STATENAME,TOTALPOP,URBANPOP,PCTURBANPOP,RURALPOP,PCTRURALPOP,I,J,K,L,M,N
54,WV,West Virginia,1793716,800857,44.647926427595,992859,55.35207357240499,1852994,902810,48.72,950184,51.28,
55,WI,Wisconsin,5893718,3953691,67.08313835171619,1940027,32.91686164828382,5686986,3989638,70.15000000000001,1697348,29.85,
56,WY,Wyoming,576851,357750,62.01774808399396,219101,37.98225191600604,563626,364993,64.76000000000001,198633,35.24,
60,AS,American Samoa,49710,37652,75.74331120498894,12058,24.25668879501107,55519,47965,86.39384715142565,7554,13.60615284857436,
66,GU,Guam,153836,136876,88.97527236797629,16960,11.02472763202371,159358,149918,94.07623087639152,9440,5.923769123608479,
69,MP,Commonwealth of the Northern Marianas,47329,36921,78.00925436835766,10408,21.99074563164233,53883,48997,90.93220496260416,4886,9.067795037395838,
72,PR,Puerto Rico,3285874,3018908,91.87534275507825,266966,8.124657244921748,3725789,3493256,93.76000000000001,232533,6.24,
78,VI,US Virgin Islands,87146,82870,95.0932917173479,4276,4.906708282652101,106405,100607,94.55100794135613,5798,5.448992058643861,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
