GeoName,LineCode,Description,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021
Pennsylvania,1,Personal income (millions of dollars),26118.7,26685.5,27845.4,28908.3,30915.2,33158.5,35757.2,38299.2,41637.9,45346.1,48843.7,51835.5,56579.8,62032.9,68133.2,74472.7,81283.2,89174.10000000001,98272,108706.1,119088.4,131482.1,140474.1,147180.8,158975.3,168415.8,177108.1,187611.1,203157.6,220029.7,232898.7,242566.3,256051.9,265789.4,275144.9,287676.4,302375.6,317520.1,334742.5,349385.3,373971.6,389069.8,396229.2,410471.3,434175.9,453298.2,476775.1,506789.7,526290.3,513386.3,537282.2,564695.4,587666,593682.1,619079.4,643988.1,661160.1,679620.2,716336.5,737160.9,788725.2,830397.4
Pennsylvania,2,Population (persons) 1/,11329000,11392000,11355000,11424000,11519000,11620000,11664000,11681000,11741000,11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12716521,12772774,12815609,12846775,12880463,12898688,12918191,12945337,12980864,12991448,12989625,12964056
Pennsylvania,3,Per capita personal income (dollars) 2/,2305,2342,2452,2530,2684,2854,3066,3279,3546,3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9155,10034,11088,11859,12433,13455,14308,15031,15885,17150,18543,19566,20244,21250,21930,22616,23583,24743,25967,27336,28489,30443,31634,32133,33170,34984,36410,38109,40337,41728,40530,42251,44211,45855,46213,48063,49927,51181,52499,55184,56742,60720,64054
Rhode Island,1,Personal income (millions of dollars),2015.7,2107.9,2266.9,2368.1,2521.8,2722.8,2973.2,3223.2,3522.1,3741.8,4093,4336.6,4722,5044.6,5288.9,5742.4,6272.4,6864.9,7531.2,8363.200000000001,9390.6,10463.8,11271,12185.4,13381.3,14413.8,15452.7,16547.2,18239.3,19852.5,20438.1,20636.1,21597.1,22514.8,23091,24324.3,25172.1,26633.8,28410,29647.4,31946.5,33633.3,34972.6,36747.8,38606.4,39495.5,41490.7,43237.9,43928.6,42788.7,45116.2,46793.7,48501.7,48544.7,50646.2,52447.6,53229.7,55301,57371.8,59908.9,64299.9,67864.60000000001
Rhode Island,2,Population (persons) 1/,855000,858000,871000,876000,885000,893000,899000,909000,922000,932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1054954,1058647,1063602,1068168,1073041,1077348,1082251,1084914,1091751,1094524,1096229,1095610
Rhode Island,3,Per capita personal income (dollars) 2/,2358,2457,2603,2703,2849,3049,3307,3546,3820,4015,4306,4499,4836,5158,5547,6068,6600,7187,7868,8742,9898,10980,11812,12741,13911,14876,15811,16721,18305,19839,20316,20419,21329,22180,22728,23918,24657,25975,27552,28496,30417,31815,32807,34301,35927,36984,39028,40894,41638,40610,42766,44201,45601,45447,47199,48682,49184,50973,52550,54735,58656,61942
South Carolina,1,Personal income (millions of dollars),3570.1,3748.4,4018.4,4252,4567.3,5047.7,5672,6120.6,6796.3,7604.4,8380.4,9180.9,10308.9,11692.3,13234.6,14394.3,16096.3,17592.5,19879.1,22283.5,24966.9,28120.4,29894.4,32447.3,36183.2,38709.7,41372.2,44371.6,48237.2,52509.2,56399.8,58892.8,62693.5,65908,69909.2,74092.10000000001,78791.89999999999,83865.3,89931.89999999999,94453.8,101138.9,104620.9,107551.6,111359.6,117847.3,125049.5,135022.4,143997.2,150518,146919.5,152230.5,160767.4,169185.2,171617.2,182832.6,194364.1,202215.4,212626.3,222564.7,234443.7,250573.6,270299.2
South Carolina,2,Population (persons) 1/,2392000,2409000,2423000,2460000,2475000,2494000,2520000,2533000,2559000,2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4633890,4662785,4701074,4740306,4792246,4852678,4910768,4965753,5021059,5077543,5130729,5190705
South Carolina,3,Per capita personal income (dollars) 2/,1493,1556,1658,1728,1845,2024,2251,2416,2656,2959,3225,3449,3792,4213,4655,4963,5472,5886,6537,7219,7965,8845,9320,10033,11059,11719,12377,13126,14137,15190,16109,16495,17316,17991,18867,19765,20755,21728,22946,23764,25133,25737,26182,26832,27986,29285,30984,32402,33234,32010,32852,34479,35989,36204,38152,40053,41178,42819,44326,46173,48838,52074
South Dakota,1,Personal income (millions of dollars),1324.8,1333,1518.9,1473.1,1445.2,1625.9,1758,1786.1,1914.3,2076.4,2257.4,2473.1,2855.4,3605.3,3612,3972,3932.8,4462.6,5142.5,5664.9,5712.8,6651.8,7010.2,7270.6,8272.299999999999,8480.6,8847.5,9335.700000000001,9747.5,10492.4,11484.6,11966.6,12941.8,13531,14587.9,14883.5,16445,16805.8,18111.9,18990,20275.5,20953.8,20955.1,22890.3,24671.7,26202.3,27640.3,30673.9,32898.7,31893.7,33804,36842.8,37844.2,38365.9,40252.3,41912.7,42336.8,43813,46032,48547.8,52920.7,57949
