state_id,state,year,foreign_full_born_pew,foreign_pct_overall_pew,unauthorized_k_pew,majority_unauthorized_mexico,unauthorized_cms,unauthorized_cms_entry,eligible_naturalize_total_cms,eligible_naturalize_cms_entry,foreign_citizen_mpi,foreign_noncitizen_mpi,foreign_pct_female_mpi,unauthorized_mpi,unauthorized_female_pct_mpi,unauthorized_latin_pct_mpi
7,Connecticut ,2010,472726,13.2,130,0,116850,80250,,,,,,,,
8,Delaware ,2010,69865,7.8,20,1,18530,11254,,,,,,,,
9,District of Columbia ,2010,79877,13.2,20,0,,,,,,,,,,
10,Florida ,2010,3667840,19.5,900,0,785802,494102,,,,,,,,
11,Georgia ,2010,939820,9.699999999999999,400,0,395985,250045,,,,,,,,
12,Hawaii ,2010,243542,17.9,40,0,38811,,,,,,,,,
13,Idaho ,2010,89387,5.7,35,1,33009,21105,,,,,,,,
14,Illinois ,2010,1759453,13.7,500,1,593827,308292,,,,,,,,
15,Indiana,2010,300115,4.6,100,1,103169,64605,,,,,,,,
16,Iowa ,2010,140808,4.6,45,1,45676,26356,,,,,,,,
17,Kansas ,2010,187333,6.6,85,1,79691,44416,,,,,,,,
18,Kentucky,2010,146758,3.4,50,0,48776,35892,,,,,,,,
19,Louisiana ,2010,166967,3.7,65,0,57221,45639,,,,,,,,
20,Maine ,2010,47904,3.6,5,1,1767,725,,,,,,,,
21,Maryland ,2010,805758,13.9,250,0,237617,154153,,,,,,,,
22,Massachusetts ,2010,975032,14.9,180,0,170971,111164,,,,,,,,
23,Michigan ,2010,582547,5.9,110,0,97473,60751,,,,,,,,
24,Minnesota,2010,378104,7.1,90,1,96642,55987,,,,,,,,
25,Mississippi ,2010,62981,2.1,25,1,25885,18835,,,,,,,,
26,Missouri,2010,233002,3.9,65,0,60022,41545,,,,,,,,
27,Montana,2010,19856,2,5,1,1009,804,,,,,,,,
28,Nebraska ,2010,109269,6,45,1,37141,17618,,,,,,,,
